Robot {73 39 -17 38} should be here: 90, 28 in quadrant 3
Robot {30 80 27 22} should be here: 3, 14 in quadrant 1
Robot {36 10 -86 -24} should be here: 21, 82 in quadrant 2
Robot {56 22 6 -46} should be here: 50, 57
Robot {75 64 98 -83} should be here: 78, 4 in quadrant 3
Robot {78 34 33 -38} should be here: 45, 45 in quadrant 1
Robot {83 88 -83 55} should be here: 65, 26 in quadrant 3
Robot {4 0 -48 44} should be here: 52, 74 in quadrant 4
Robot {45 75 42 2} should be here: 3, 69 in quadrant 2
Robot {27 47 75 90} should be here: 53, 86 in quadrant 4
Robot {75 100 -90 -61} should be here: 64, 77 in quadrant 4
Robot {45 29 -36 -76} should be here: 81, 51
Robot {73 64 48 -7} should be here: 25, 85 in quadrant 2
Robot {40 7 -87 -62} should be here: 26, 90 in quadrant 2
Robot {43 35 -57 11} should be here: 100, 2 in quadrant 3
Robot {74 77 77 70} should be here: 98, 73 in quadrant 4
Robot {11 42 9 4} should be here: 2, 30 in quadrant 1
Robot {98 28 75 34} should be here: 23, 29 in quadrant 1
Robot {34 42 66 -55} should be here: 69, 1 in quadrant 3
Robot {15 97 2 6} should be here: 13, 79 in quadrant 2
Robot {26 43 57 -72} should be here: 70, 53 in quadrant 4
Robot {84 24 -34 36} should be here: 17, 19 in quadrant 1
Robot {56 79 64 67} should be here: 93, 84 in quadrant 4
Robot {59 30 61 -81} should be here: 99, 67 in quadrant 4
Robot {94 19 68 -20} should be here: 26, 79 in quadrant 2
Robot {55 9 -37 83} should be here: 92, 69 in quadrant 4
Robot {11 69 18 75} should be here: 94, 50 in quadrant 3
Robot {3 45 24 76} should be here: 80, 23 in quadrant 3
Robot {48 88 20 -75} should be here: 28, 4 in quadrant 1
Robot {10 88 -13 59} should be here: 23, 14 in quadrant 1
Robot {77 66 47 36} should be here: 30, 61 in quadrant 2
Robot {28 46 73 88} should be here: 56, 91 in quadrant 4
Robot {2 6 -96 18} should be here: 98, 55 in quadrant 4
Robot {98 80 89 -75} should be here: 9, 99 in quadrant 2
Robot {1 71 -77 62} should be here: 78, 91 in quadrant 4
Robot {68 99 89 -42} should be here: 80, 19 in quadrant 3
Robot {84 35 -10 -8} should be here: 94, 59 in quadrant 4
Robot {26 102 -94 -93} should be here: 19, 72 in quadrant 2
Robot {44 72 -84 -51} should be here: 27, 19 in quadrant 1
Robot {11 39 -56 65} should be here: 67, 50 in quadrant 3
Robot {78 5 -38 -63} should be here: 15, 91 in quadrant 2
Robot {99 101 59 -21} should be here: 40, 61 in quadrant 2
Robot {87 90 -77 27} should be here: 63, 9 in quadrant 3
Robot {58 38 -29 75} should be here: 87, 19 in quadrant 3
Robot {45 69 86 -3} should be here: 60, 78 in quadrant 4
Robot {74 4 44 55} should be here: 30, 45 in quadrant 1
Robot {23 92 -71 44} should be here: 94, 63 in quadrant 4
Robot {97 70 -41 -83} should be here: 37, 10 in quadrant 1
Robot {55 89 -9 70} should be here: 64, 85 in quadrant 4
Robot {55 99 -14 58} should be here: 69, 28 in quadrant 3
Robot {82 72 -75 -60} should be here: 56, 46 in quadrant 3
Robot {10 90 58 -38} should be here: 53, 101 in quadrant 4
Robot {29 49 76 -24} should be here: 54, 18 in quadrant 3
Robot {25 83 -88 40} should be here: 12, 66 in quadrant 2
Robot {19 3 1 52} should be here: 18, 53 in quadrant 2
Robot {5 40 -84 19} should be here: 89, 86 in quadrant 4
Robot {40 28 70 27} should be here: 71, 50 in quadrant 3
Robot {85 0 69 -58} should be here: 16, 71 in quadrant 2
Robot {72 65 39 24} should be here: 33, 96 in quadrant 2
Robot {52 92 -73 90} should be here: 24, 28 in quadrant 1
Robot {75 6 41 94} should be here: 34, 33 in quadrant 1
Robot {93 79 75 51} should be here: 18, 29 in quadrant 1
Robot {15 35 -85 46} should be here: 100, 0 in quadrant 3
Robot {2 8 -49 -32} should be here: 51, 1 in quadrant 3
Robot {57 20 -87 -47} should be here: 43, 58 in quadrant 2
Robot {67 32 78 50} should be here: 90, 88 in quadrant 4
Robot {15 53 -55 92} should be here: 70, 86 in quadrant 4
Robot {12 64 59 -48} should be here: 54, 2 in quadrant 3
Robot {7 50 60 -99} should be here: 48, 38 in quadrant 1
Robot {27 13 -92 -44} should be here: 18, 42 in quadrant 1
Robot {25 27 72 41} should be here: 54, 7 in quadrant 3
Robot {29 31 -50 -50} should be here: 79, 78 in quadrant 4
Robot {64 39 49 -46} should be here: 15, 74 in quadrant 2
Robot {8 95 -99 33} should be here: 6, 99 in quadrant 2
Robot {0 49 -3 35} should be here: 3, 47 in quadrant 1
Robot {19 99 89 14} should be here: 31, 57 in quadrant 2
Robot {35 68 -14 66} should be here: 49, 76 in quadrant 2
Robot {36 55 94 81} should be here: 43, 18 in quadrant 1
Robot {40 32 22 45} should be here: 18, 0 in quadrant 1
